Year,"DAC Countries, Total"
1960,0.51
1961,0.54
1962,0.53
1963,0.51
1964,0.48
1965,0.48
1966,0.44
1967,0.41
1968,0.41
1969,0.37
1970,0.33
1971,0.32
1972,0.34
1973,0.27
1974,0.32
1975,0.34
1976,0.31
1977,0.31
1978,0.33
1979,0.33
1980,0.35
1981,0.32
1982,0.36
1983,0.34
1984,0.34
1985,0.33
1986,0.34
1987,0.33
1988,0.34
1989,0.31
1990,0.32
1991,0.32
1992,0.32
1993,0.29
1994,0.29
1995,0.26
1996,0.24
1997,0.22
1998,0.23
1999,0.22
2000,0.22
2001,0.21
2002,0.23
2003,0.24
2004,0.25
2005,0.32
2006,0.3
2007,0.27
2008,0.3
2009,0.31
2010,0.31
2011,0.31
2012,0.28
2013,0.3
2014,0.3
2015,0.3
2016,0.32
2017,0.31
2018,0.27
2019,0.3
2020,0.33
2021,0.33
